date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:33	93068/93068	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.0/jquery.min.js	C:/Mes%20Sites%20Web/WinVista/ajax.googleapis.com/ajax/libs/jquery/1.9.0/jquery.min.js	(from http://v0.windows93.net/)
13:46:33	922/922	---M--	200	added ('OK')	image/png	etag:%2239a-53e0ea9fdcc80%22	http://v0.windows93.net/images/classic/quick_launch_firefox.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_firefox.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:33	3269/3269	---M--	200	added ('OK')	image/png	etag:%22cc5-53e0ea9ee8a40%22	http://v0.windows93.net/images/classic/quick_launch_destkop.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_destkop.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:34	682/682	---M--	200	added ('OK')	image/png	etag:%222aa-53e0eaa0d0ec0%22	http://v0.windows93.net/images/classic/quick_launch_winamp.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_winamp.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:34	3243/3243	---M--	200	added ('OK')	image/png	etag:%22cab-53e0ea9fdcc80%22	http://v0.windows93.net/images/classic/quick_launch_facebook.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_facebook.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:34	831/831	---M--	200	added ('OK')	image/png	etag:%2233f-53e0ea9fdcc80%22	http://v0.windows93.net/images/classic/quick_launch_flashfxp.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_flashfxp.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:34	55182/55182	---M--	200	added ('OK')	image/jpeg	etag:%22d78e-53e0eabd6d240%22	http://v0.windows93.net/images/trash.jpg	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/trash.jpg	(from http://v0.windows93.net/)
13:46:35	3503/3503	---M--	200	added ('OK')	image/png	etag:%22daf-53e0eaa0d0ec0%22	http://v0.windows93.net/images/classic/quick_launch_soundcloud.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_soundcloud.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:35	317/317	---M--	200	added ('OK')	image/png	etag:%2213d-53e0ea9ee8a40%22	http://v0.windows93.net/images/classic/open_button.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/open_button.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:35	3144/3144	---M--	200	added ('OK')	image/png	etag:%22c48-53e0ea9ee8a40%22	http://v0.windows93.net/images/classic/quick_launch_contact.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/quick_launch_contact.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:35	2864/2864	---M--	200	added ('OK')	image/png	etag:%22b30-53e0ea9df4800%22	http://v0.windows93.net/images/classic/divider.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/divider.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:35	4/4	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Dec%202019%2013:46:36%20GMT	http://pierrepapierciseaux.net/WIN93/3_OLD/desktop/images/classic/recent_arrows.png	C:/Mes%20Sites%20Web/WinVista/pierrepapierciseaux.net/WIN93/3_OLD/desktop/images/classic/recent_arrows.1f.delayed	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:35	1520/1520	---M--	200	added ('OK')	image/png	etag:%225f0-53e0eaa3ad580%22	http://v0.windows93.net/images/classic/window_bar.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/window_bar.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:36	457/457	---M--	200	added ('OK')	image/png	etag:%221c9-53e0eaa4a17c0%22	http://v0.windows93.net/images/classic/window_buttons.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/window_buttons.png	(from http://v0.windows93.net/styles/defaultxp.css)
